English Text,Chinese Translation
Gadget Rules,
ALCHEMY RULES,
"<h3>ALCHEMY</h3><p><span class=""fontstyle0""><strong>Also: </strong>Chemistry, Bombs, Mutations</span></p><hr /><p><span class=""fontstyle0"">You may perform the </span><span class=""fontstyle2""><strong>Inventory </strong></span>action to rapidly craft a <span class=""fontstyle2""><strong>potion </strong></span>with powerful but somewhat unpredictable effects. When you do so, choose one type of <span class=""fontstyle2""><strong>mix </strong></span>among those you have unlocked (<span class=""fontstyle2""><strong>basic</strong></span>, <span class=""fontstyle2""><strong>advanced </strong></span>or <span class=""fontstyle2""><strong>superior</strong></span>) and spend the appropriate amount of Inventory Points. </p><hr /><p> </p><table style=""width:100%"" border=""1""><colgroup><col style=""width:14.8891%""></col><col style=""width:9.71909%""></col><col style=""width:75.3918%""></col></colgroup><tbody><tr><td><strong>Mix</strong></td><td style=""text-align:center""><strong>IP Cost</strong></td><td> <strong>Description</strong></td></tr><tr><td><strong>Basic</strong></td><td style=""text-align:center""><strong>3</strong></td><td><span class=""fontstyle0""> Roll <strong>two </strong></span><span class=""fontstyle2""><strong>d20</strong></span><span class=""fontstyle0""><strong>s</strong> and assign one to </span><span class=""fontstyle2""><strong>target </strong></span><span class=""fontstyle0"">and one to </span><span class=""fontstyle2""><strong>effect</strong></span><span class=""fontstyle0"">.</span> </td></tr><tr><td><strong>Advanced</strong></td><td style=""text-align:center""><strong>4</strong></td><td><span class=""fontstyle0""> Roll <strong>three </strong></span><span class=""fontstyle2""><strong>d20</strong></span><span class=""fontstyle0""><strong>s</strong> and assign one to </span><span class=""fontstyle2""><strong>target </strong></span><span class=""fontstyle0"">and one to </span><span class=""fontstyle2""><strong>effect</strong></span><span class=""fontstyle0"">.</span> </td></tr><tr><td><strong>Superior</strong></td><td style=""text-align:center""><strong>5</strong></td><td><span class=""fontstyle0""> Roll <strong>four </strong></span><span class=""fontstyle2""><strong>d20</strong></span><span class=""fontstyle0""><strong>s</strong> and assign one to </span><span class=""fontstyle2""><strong>target </strong></span><span class=""fontstyle0"">and one to </span><span class=""fontstyle2""><strong>effect</strong></span><span class=""fontstyle0"">.</span> </td></tr></tbody></table><p> </p><p><span class=""fontstyle0"">When you create a mix, roll the amount of twenty-sided dice indicated by that mix, then assign one of those rolls to the </span><span class=""fontstyle2""><strong>target </strong></span>table (below) and one to the <span class=""fontstyle2""><strong>effect </strong></span>table (on the right). Discard all remaining dice, then describe the effects of the mix!</p><blockquote><p><span class=""fontstyle2""><em><strong>Example</strong>: </em></span><em>You spend 5 Inventory Points for a </em><span class=""fontstyle2""><em><strong>superior mix </strong></em></span><em>and roll four twenty-sided dice. You roll </em><span class=""fontstyle2""><em><strong>3</strong></em></span><em>, </em><span class=""fontstyle2""><em><strong>14</strong></em></span><em>, </em><span class=""fontstyle2""><em><strong>9 </strong></em></span><em>and </em><span class=""fontstyle2""><em><strong>4</strong></em></span><em>. You might assign </em><span class=""fontstyle2""><em><strong>14 </strong></em></span><em>to </em><span class=""fontstyle2""><em><strong>target</strong> </em></span><em>and </em><span class=""fontstyle2""><em><strong>9 </strong></em></span><em>to </em><span class=""fontstyle2""><em><strong>effect </strong></em></span><em>to grant yourself and all allies Resistance to </em><span class=""fontstyle2""><em><strong>air </strong></em></span><em>and </em><span class=""fontstyle2""><em><strong>fire</strong></em></span><em>; or you could go on the offensive and assign </em><span class=""fontstyle2""><em><strong>9 </strong></em></span><em>to <strong>target </strong>and </em><span class=""fontstyle2""><em><strong>4 </strong></em></span><em>to </em><span class=""fontstyle2""><em><strong>effect </strong></em></span><em>to deal </em><span class=""fontstyle2""><em><strong>bolt </strong></em></span><em>damage to a single enemy; or even assign </em><span class=""fontstyle2""><em><strong>9 </strong></em></span><em>to <strong>target </strong>and </em><span class=""fontstyle2""><em><strong>14 </strong></em></span><em>to </em><span class=""fontstyle2""><em><strong>effect </strong></em></span><em>to inflict four status effects on that foe!</em></p></blockquote><p><span class=""fontstyle0"">Whatever your choice, the two dice you don't assign will be discarded.</span></p><p><span class=""fontstyle0"">The two effects marked with ""</span><span class=""fontstyle2"">Any</span>"" on the <span class=""fontstyle2"">effect </span>table are always availabl<span class=""fontstyle0"">e and can be chosen if none of the available effects appeal to you. </span></p><p> </p><p><span class=""fontstyle0""><strong>TARGET</strong></span></p><table style=""width:96.0876%"" border=""1""><colgroup><col style=""width:14.2534%""></col><col style=""width:85.7502%""></col></colgroup><tbody><tr><td style=""text-align:center""><strong>Die</strong></td><td> <span class=""fontstyle0""><strong>The potion affects...</strong></span><strong> </strong></td></tr><tr><td style=""text-align:center""><strong>1-6</strong></td><td> <span class=""fontstyle0"">... you </span><span class=""fontstyle2""><strong>or </strong></span><span class=""fontstyle0"">one ally you can see that is present on the scene.</span> </td></tr><tr><td style=""text-align:center""><strong>7-11</strong></td><td> <span class=""fontstyle0"">... one enemy you can see that is present on the scene.</span> </td></tr><tr><td style=""text-align:center""><strong>12-16</strong></td><td> <span class=""fontstyle0"">... you </span><span class=""fontstyle2""><strong>and </strong></span><span class=""fontstyle0"">every ally present on the scene.</span> </td></tr><tr><td style=""text-align:center""><strong>17-20</strong></td><td> <span class=""fontstyle0"">... every enemy present on the scene.</span> </td></tr></tbody></table><p> </p><p><strong>EFFECT</strong></p><table style=""width:100%"" border=""1""><colgroup><col style=""width:9.24765%""></col><col style=""width:90.7524%""></col></colgroup><tbody><tr><td style=""text-align:center""><strong>Die</strong></td><td> <span class=""fontstyle0""><strong>Each creature affected by the potion...</strong></span><strong> </strong></td></tr><tr><td style=""text-align:center""><strong>Any</strong></td><td> <span class=""fontstyle0"">... suffers @DMG[20 poison]</span><span class=""fontstyle2""> </span><span class=""fontstyle0"">damage.</span></td></tr><tr><td style=""text-align:center""><strong>Any</strong></td><td> <span class=""fontstyle0"">... recovers @GAIN[30 hp].</span> </td></tr><tr><td style=""text-align:center""><strong>1</strong></td><td> <span class=""fontstyle0"">... treats their </span><span class=""fontstyle2""><strong>Dexterity</strong> (@EFFECT[dex-up]) </span><span class=""fontstyle0"">and </span><span class=""fontstyle2""><strong>Might </strong>(@EFFECT[mig-up]) </span><span class=""fontstyle0"">dice as if they were one size higher (up to a maximum of </span><span class=""fontstyle2""><strong>d12</strong></span><span class=""fontstyle0"">) until the end of your next turn.</span> </td><td><p></p></td><td><p></p></td></tr><tr><td style=""text-align:center""><strong>2</strong></td><td> ... treats their <strong>Insight </strong>(@EFFECT[ins-up]) and <strong>Willpower</strong> (@EFFECT[wlp-up]) dice as if they were one size higher (up to a maximum of <strong>d12</strong>) until the end of your next turn. </td><td><p></p></td><td><p></p></td></tr><tr><td style=""text-align:center""><strong>3</strong></td><td> <span class=""fontstyle0"">... suffers @DMG[20 air] damage. This amount increases to @DMG[30 air] damage if you are </span><span class=""fontstyle2""><strong>level 20 or higher</strong></span><span class=""fontstyle0"">, or to @DMG[40 air] damage if you are </span><span class=""fontstyle2""><strong>level 40 or higher</strong></span><span class=""fontstyle0"">.</span> </td></tr><tr><td style=""text-align:center""><strong>4</strong></td><td> ... suffers @DMG[20 bolt] damage. This amount increases to @DMG[30 bolt] damage if you are <strong>level 20 or higher</strong>, or to @DMG[40 bolt] damage if you are <strong>level 40 or higher</strong>. </td></tr><tr><td style=""text-align:center""><strong>5</strong></td><td> ... suffers @DMG[20 dark] damage. This amount increases to @DMG[30 dark] damage if you are <strong>level 20 or higher</strong>, or to @DMG[40 dark] damage if you are <strong>level 40 or higher</strong>. </td></tr><tr><td style=""text-align:center""><strong>6</strong></td><td> ... suffers @DMG[20 earth] damage. This amount increases to @DMG[30 earth] damage if you are <strong>level 20 or higher</strong>, or to @DMG[40 earth] damage if you are <strong>level 40 or higher</strong>. </td></tr><tr><td style=""text-align:center""><strong>7</strong></td><td> ... suffers @DMG[20 fire] damage. This amount increases to @DMG[30 fire] damage if you are <strong>level 20 or higher</strong>, or to @DMG[40 fire] damage if you are <strong>level 40 or higher</strong>. </td></tr><tr><td style=""text-align:center""><strong>8</strong></td><td> ... suffers @DMG[20 ice] damage. This amount increases to @DMG[30 ice] damage if you are <strong>level 20 or higher</strong>, or to @DMG[40 ice] damage if you are <strong>level 40 or higher</strong>. </td></tr><tr><td style=""text-align:center""><strong>9</strong></td><td> <span class=""fontstyle0"">... gains Resistance to </span><span class=""fontstyle2""><strong>air </strong>(</span>@TYPE[affinity air resistance]<span class=""fontstyle2"">)<strong> </strong></span><span class=""fontstyle0"">and </span><span class=""fontstyle2""><strong>fire </strong>(</span>@TYPE[affinity fire resistance]<span class=""fontstyle2"">)<strong> </strong></span><span class=""fontstyle0"">damage until the end of the scene.</span> </td></tr><tr><td style=""text-align:center""><strong>10</strong></td><td>  <span class=""fontstyle0"">... gains Resistance to </span><span class=""fontstyle2""><strong>bolt </strong>(</span>@TYPE[affinity bolt resistance]<span class=""fontstyle2"">) </span><span class=""fontstyle0"">and </span><span class=""fontstyle2""><strong>ice </strong>(</span>@TYPE[affinity ice resistance]<span class=""fontstyle2"">) damage until the end of the scene. </span></td></tr><tr><td style=""text-align:center""><strong>11</strong></td><td>  <span class=""fontstyle0"">... gains Resistance to </span><span class=""fontstyle2""><strong>dark</strong> (</span>@TYPE[affinity dark resistance]<span class=""fontstyle2"">)<strong> </strong></span><span class=""fontstyle0"">and </span><span class=""fontstyle2""><strong>earth </strong>(</span>@TYPE[affinity earth resistance]<span class=""fontstyle2"">) </span><span class=""fontstyle0"">damage until the end of the scene. </span></td></tr><tr><td style=""text-align:center""><strong>12</strong></td><td> <span class=""fontstyle0"">... suffers </span><span class=""fontstyle2"">@EFFECT[enraged]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td style=""text-align:center""><strong>13</strong></td><td> <span class=""fontstyle0"">... suffers </span><span class=""fontstyle2"">@EFFECT[poisoned]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td style=""text-align:center""><strong>14</strong></td><td> <span class=""fontstyle0"">... suffers </span><span class=""fontstyle2"">@EFFECT[dazed]</span><span class=""fontstyle0"">, </span><span class=""fontstyle2"">@EFFECT[shaken]</span><span class=""fontstyle0"">, </span><span class=""fontstyle2"">@EFFECT[slow], </span><span class=""fontstyle0"">and </span><span class=""fontstyle2"">@EFFECT[weak]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td style=""text-align:center""><strong>15</strong></td><td> <span class=""fontstyle0"">... recovers from all status effects.</span> </td></tr><tr><td style=""text-align:center""><strong>16-17</strong></td><td> <span class=""fontstyle0"">... recovers @GAIN[50 hp] and @GAIN[50 mp]</span></td></tr><tr><td style=""text-align:center""><strong>18</strong></td><td> <span class=""fontstyle0"">... recovers @GAIN[100 hp]</span></td></tr><tr><td style=""text-align:center""><strong>19</strong></td><td> <span class=""fontstyle0"">... recovers @GAIN[100 mp]</span></td></tr><tr><td style=""text-align:center""><strong>20</strong></td><td> <span class=""fontstyle0"">... recovers @GAIN[100 hp] and @GAIN[100 mp]</span></td></tr></tbody></table><p> </p>",
INFUSION RULES,
"<h3>INFUSIONS</h3><p><span class=""fontstyle0""><strong>Also:</strong> </span><span class=""fontstyle2"">Arcane Ammunition, Blade Coatings, Combat Runes</span></p><hr /><p><span class=""fontstyle0"">When you successfully hit one or more targets with an attack, you may spend </span><span class=""fontstyle2"">@LOSS[2 ip]</span><span class=""fontstyle0""> to produce a special </span><strong>infusion </strong><span class=""fontstyle0"">and apply the corresponding effect to that attack (if the attack had the </span><strong>multi </strong><span class=""fontstyle0"">property, apply the effects of the infusion to each target).</span></p><hr /><p><span class=""fontstyle0"">You cannot apply more than one infusion to the same attack; producing and using an infusion are both part of the action you used to attack with the weapon.</span> </p><hr /><p><span class=""fontstyle2""><strong>BASIC INFUSIONS</strong></span></p><table style=""width:97.2093%"" border=""1""><colgroup><col style=""width:17.4333%""></col><col style=""width:82.4937%""></col></colgroup><tbody><tr><td><strong>INFUSIONS</strong></td><td> <strong>EFFECT</strong></td></tr><tr><td><strong>Cryo</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, and its damage becomes </span><span class=""fontstyle2""><strong>ice </strong>@ICON[ice]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td><strong>Pyro</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, and its damage becomes </span><span class=""fontstyle2""><strong>fire </strong>@ICON[fire]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td><strong>Volt</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, and its damage becomes </span><span class=""fontstyle2""><strong>bolt </strong>@ICON[bolt]</span><span class=""fontstyle0"">.</span> </td></tr></tbody></table><p></p><p><strong>ADVANCED INFUSIONS</strong></p><table style=""width:96.5571%"" border=""1""><colgroup><col style=""width:17.2065%""></col><col style=""width:82.7935%""></col></colgroup><tbody><tr><td><strong>INFUSIONS</strong></td><td><strong> EFFECT</strong></td></tr><tr><td><strong>Cyclone</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, and its damage becomes </span><span class=""fontstyle2""><strong>air</strong> @ICON[air]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td><strong>Exorcism</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, and its damage becomes </span><span class=""fontstyle2""><strong>light </strong>@ICON[light]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td><strong>Seismic</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, and its damage becomes </span><span class=""fontstyle2""><strong>earth </strong>@ICON[earth]</span><span class=""fontstyle0"">.</span> </td></tr><tr><td><strong>Shadow</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, and its damage becomes </span><span class=""fontstyle2""><strong>dark</strong> @ICON[dark]</span><span class=""fontstyle0"">.</span> </td></tr></tbody></table><p> </p><p><strong>SUPERIOR INFUSIONS</strong></p><table style=""width:95.9311%"" border=""1""><colgroup><col style=""width:17.3909%""></col><col style=""width:82.6091%""></col></colgroup><tbody><tr><td><strong>INFUSIONS</strong></td><td><strong> EFFECT</strong></td></tr><tr><td><strong>Vampire</strong></td><td><p> Choose one option: you recover an amount of HP equal to half the HP loss suffered by the target of the attack; <strong>or</strong> you recover an amount of MP equal to half the HP loss suffered by the target of the attack. </p><p> This infusion can only be used if the attack targeted a <strong>single</strong> creature. </p></td></tr><tr><td><strong>Venom</strong></td><td> <span class=""fontstyle0"">The attack deals 5 extra damage, its damage becomes </span><span class=""fontstyle2""><strong>poison </strong>@ICON[poison]</span><span class=""fontstyle0"">, and each creature hit by the attack suffers </span><span class=""fontstyle2""><strong>poisoned</strong></span><span class=""fontstyle0"">.</span> </td></tr></tbody></table>",
MAGITECH RULES,
"<h3>MAGITECH</h3><p><strong>Also:</strong> Engineering, Golemcraft, Robotics.</p><hr /><p>This invention type grants a variety of different benefits.</p><hr /><p></p><h3>MAGITECH OVERRIDE (BASIC)</h3><p>Add the @UUID[Compendium.projectfu.skills.Item.aPfawWXZqKuHAAqj]{Magitech Override} feature to your character sheet.</p><p>You may use an action and spend @LOSS[10 mp] to perform an Opposed <strong>【INS + INS】 </strong>Check against a nearby <strong>soldier</strong>-rank <strong>construct </strong>you can see (the Game Master musttell you who is a valid target). If you succeed, you gain control of the creature untilthe end of the scene (the Game Master gives you its profile). You may only control <strong>one construct at any given time</strong>, but may set it free whenever you want; the <strong>construct </strong>is also set free as soon as it is harmed by you or by one of your allies. Once free, the construct is again in control of its actions and might turn against you.</p><p></p><h3>MAGICANNON (ADVANCED)</h3><p>Add the@UUID[Compendium.projectfu.consumables.Item.AbazTRyaMTW4ouhx]{Magicannon (Item)} to your character sheet.</p><p>You may perform the <strong>Inventory</strong> action and spend @LOSS[3 ip] Inventory Points to create a <strong>firearm</strong> weapon known as a <strong>magicannon</strong> (see below). The magicannon will crumble to pieces as soon as you use create a new magicannon. When you create a magicannon, choose the type of damage it deals (<strong>air, bolt, earth, fire, ice,</strong> or <strong>physical</strong>).</p><table border=""1""><colgroup><col></col><col></col><col></col><col></col></colgroup><tbody><tr><td><strong>WEAPON</strong></td><td><strong>ACCURACY</strong></td><td><strong>DAMAGE</strong></td><td><strong>QUALITIES</strong></td></tr><tr><td>Magicannon</td><td>【<span class=""fontstyle1"">DEX + INS】 +1</span></td><td>【<span class=""fontstyle1"">HR + 10】</span></td><td>Two-handed -Ranged -No Quality.</td></tr></tbody></table><p></p><h3>MAGISPHERES (SUPERIOR)</h3><p>Add three @UUID[Compendium.projectfu.consumables.Item.7dUU12f8IHa2tESo]{Magisphere (Superior)} to your character sheet.</p><p>You develop three magisphere prototypes; each of them can replicate a spell chosen from the following lists: <strong>Elementalist</strong>, <strong>Entropist </strong>and <strong>Spiritist</strong>. The spells you choose may come from the same list or different lists.</p><p>You also develop two more prototypes upon reaching <strong>level 20</strong>, and another two upon reaching <strong>level 40</strong> (the same applies if you already reached those levels).</p><p>You may perform the <strong>Inventory action</strong> and spend @LOSS[2 ip] to create a <strong>magisphere </strong>and immediately perform the <strong>Spell action for free</strong>, casting one ofthe spells you have developed a prototype for. The spell follows the normal rules(including MP costs and Magic Checks) and the magisphere is destroyed upon use.</p>",
GADGET VTT INSTRUCTIONS,
"<h6>GADGET - ALCHEMY</h6><ol><li><p>Add the following gadget to your character sheet: @UUID[Compendium.projectfu.skills.Item.SsR6UJXT65Q1qNO2]{Alchemy}</p></li><li><p>Import the following rollable tables to your world: @UUID[Compendium.projectfu.rollable-tables.RollTable.TvH7gOE0xQYeimUF]{Alchemy: Effect} and @UUID[Compendium.projectfu.rollable-tables.RollTable.vZa3GMOzrEVma2Hv]{Alchemy: Target}</p></li><li><p>Open the alchemy sheet and navigate to ""<strong>Config</strong>"" tab</p></li><li><p>Under ""<strong>Target Rollable Table</strong>"" select ""Alchemy: Target""</p></li><li><p>Under ""<strong>Effect Rollable Table</strong>"" select ""Alchemy: Effect""</p></li></ol><hr /><h6>GADGET - INFUSION</h6><ol><li><p>Add the following gadget to your character sheet: @UUID[Compendium.projectfu.skills.Item.1tfYFkiXLuTOUmre]{Infusion}</p></li><li><p>Perform an Accuracy Check like you'd normally do; <strong>roll</strong> a weapon.</p></li><li><p>In the chat message, right click, select ""Apply Infusion"", and select an infusion in the dialog menu.</p></li></ol><hr /><h6>GADGET - MAGITECH</h6><ol><li><p>Add the following gadget to your character sheet: @UUID[Compendium.projectfu.skills.Item.EmwWSYlFjlUSGPLL]{Magitech}</p></li><li><p>For <strong>basic</strong> rank, add the following item to your character sheet: @UUID[Compendium.projectfu.skills.Item.aPfawWXZqKuHAAqj]{Magitech Override}</p></li><li><p>For <strong>advanced</strong> rank, add the following item to your character sheet: @UUID[Compendium.projectfu.consumables.Item.AbazTRyaMTW4ouhx]{Magicannon (Item)}</p></li><li><p>For <strong>superior</strong> rank, pick  three spells from the following lists: @UUID[Compendium.projectfu.handouts.JournalEntry.hK8r8lsQNaknSqdq.JournalEntryPage.z1OeFUn5ckVmO5oW]{Elementalist Spells}, @UUID[Compendium.projectfu.handouts.JournalEntry.jZeTJrK0mFsRyz8S.JournalEntryPage.z1OeFUn5ckVmO5oW]{Entropist Spells}, and @UUID[Compendium.projectfu.handouts.JournalEntry.L65ajg6cmHEk3zAP.JournalEntryPage.z1OeFUn5ckVmO5oW]{Spiritist Spells}</p></li></ol>",
Heroic Skills,
HEROIC SKILLS,
